anime_id,name,genre,type,rating,content
32281,Kimi no Na wa.,Drama  Romance  School  Supernatural,Movie,9.37,Kimi no Na wa. Drama  Romance  School  Supernatural Movie
5114,Fullmetal Alchemist: Brotherhood,Action  Adventure  Drama  Fantasy  Magic  Military  Shounen,TV,9.26,Fullmetal Alchemist: Brotherhood Action  Adventure  Drama  Fantasy  Magic  Military  Shounen TV
28977,Gintama°,Action  Comedy  Historical  Parody  Samurai  Sci-Fi  Shounen,TV,9.25,Gintama° Action  Comedy  Historical  Parody  Samurai  Sci-Fi  Shounen TV
9253,Steins;Gate,Sci-Fi  Thriller,TV,9.17,Steins;Gate Sci-Fi  Thriller TV
9969,Gintama&#039;,Action  Comedy  Historical  Parody  Samurai  Sci-Fi  Shounen,TV,9.16,Gintama&#039; Action  Comedy  Historical  Parody  Samurai  Sci-Fi  Shounen TV
32935,Haikyuu!!: Karasuno Koukou VS Shiratorizawa Gakuen Koukou,Comedy  Drama  School  Shounen  Sports,TV,9.15,Haikyuu!!: Karasuno Koukou VS Shiratorizawa Gakuen Koukou Comedy  Drama  School  Shounen  Sports TV
11061,Hunter x Hunter (2011),Action  Adventure  Shounen  Super Power,TV,9.13,Hunter x Hunter (2011) Action  Adventure  Shounen  Super Power TV
820,Ginga Eiyuu Densetsu,Drama  Military  Sci-Fi  Space,OVA,9.11,Ginga Eiyuu Densetsu Drama  Military  Sci-Fi  Space OVA
15335,Gintama Movie: Kanketsu-hen - Yorozuya yo Eien Nare,Action  Comedy  Historical  Parody  Samurai  Sci-Fi  Shounen,Movie,9.1,Gintama Movie: Kanketsu-hen - Yorozuya yo Eien Nare Action  Comedy  Historical  Parody  Samurai  Sci-Fi  Shounen Movie
15417,Gintama&#039;: Enchousen,Action  Comedy  Historical  Parody  Samurai  Sci-Fi  Shounen,TV,9.11,Gintama&#039;: Enchousen Action  Comedy  Historical  Parody  Samurai  Sci-Fi  Shounen TV
4181,Clannad: After Story,Drama  Fantasy  Romance  Slice of Life  Supernatural,TV,9.06,Clannad: After Story Drama  Fantasy  Romance  Slice of Life  Supernatural TV
28851,Koe no Katachi,Drama  School  Shounen,Movie,9.05,Koe no Katachi Drama  School  Shounen Movie
918,Gintama,Action  Comedy  Historical  Parody  Samurai  Sci-Fi  Shounen,TV,9.04,Gintama Action  Comedy  Historical  Parody  Samurai  Sci-Fi  Shounen TV
2904,Code Geass: Hangyaku no Lelouch R2,Action  Drama  Mecha  Military  Sci-Fi  Super Power,TV,8.98,Code Geass: Hangyaku no Lelouch R2 Action  Drama  Mecha  Military  Sci-Fi  Super Power TV
28891,Haikyuu!! Second Season,Comedy  Drama  School  Shounen  Sports,TV,8.93,Haikyuu!! Second Season Comedy  Drama  School  Shounen  Sports TV
199,Sen to Chihiro no Kamikakushi,Adventure  Drama  Supernatural,Movie,8.93,Sen to Chihiro no Kamikakushi Adventure  Drama  Supernatural Movie
23273,Shigatsu wa Kimi no Uso,Drama  Music  Romance  School  Shounen,TV,8.92,Shigatsu wa Kimi no Uso Drama  Music  Romance  School  Shounen TV
24701,Mushishi Zoku Shou 2nd Season,Adventure  Fantasy  Historical  Mystery  Seinen  Slice of Life  Supernatural,TV,8.88,Mushishi Zoku Shou 2nd Season Adventure  Fantasy  Historical  Mystery  Seinen  Slice of Life  Supernatural TV
12355,Ookami Kodomo no Ame to Yuki,Fantasy  Slice of Life,Movie,8.84,Ookami Kodomo no Ame to Yuki Fantasy  Slice of Life Movie
1575,Code Geass: Hangyaku no Lelouch,Action  Mecha  Military  School  Sci-Fi  Super Power,TV,8.83,Code Geass: Hangyaku no Lelouch Action  Mecha  Military  School  Sci-Fi  Super Power TV
263,Hajime no Ippo,Comedy  Drama  Shounen  Sports,TV,8.83,Hajime no Ippo Comedy  Drama  Shounen  Sports TV
44,Rurouni Kenshin: Meiji Kenkaku Romantan - Tsuioku-hen,Action  Drama  Historical  Martial Arts  Romance  Samurai,OVA,8.83,Rurouni Kenshin: Meiji Kenkaku Romantan - Tsuioku-hen Action  Drama  Historical  Martial Arts  Romance  Samurai OVA
1,Cowboy Bebop,Action  Adventure  Comedy  Drama  Sci-Fi  Space,TV,8.82,Cowboy Bebop Action  Adventure  Comedy  Drama  Sci-Fi  Space TV
30276,One Punch Man,Action  Comedy  Parody  Sci-Fi  Seinen  Super Power  Supernatural,TV,8.82,One Punch Man Action  Comedy  Parody  Sci-Fi  Seinen  Super Power  Supernatural TV
164,Mononoke Hime,Action  Adventure  Fantasy,Movie,8.81,Mononoke Hime Action  Adventure  Fantasy Movie
7311,Suzumiya Haruhi no Shoushitsu,Comedy  Mystery  Romance  School  Sci-Fi  Supernatural,Movie,8.81,Suzumiya Haruhi no Shoushitsu Comedy  Mystery  Romance  School  Sci-Fi  Supernatural Movie
17074,Monogatari Series: Second Season,Comedy  Mystery  Romance  Supernatural  Vampire,TV,8.8,Monogatari Series: Second Season Comedy  Mystery  Romance  Supernatural  Vampire TV
21939,Mushishi Zoku Shou,Adventure  Fantasy  Historical  Mystery  Seinen  Slice of Life  Supernatural,TV,8.8,Mushishi Zoku Shou Adventure  Fantasy  Historical  Mystery  Seinen  Slice of Life  Supernatural TV
457,Mushishi,Adventure  Fantasy  Historical  Mystery  Seinen  Slice of Life  Supernatural,TV,8.78,Mushishi Adventure  Fantasy  Historical  Mystery  Seinen  Slice of Life  Supernatural TV
2001,Tengen Toppa Gurren Lagann,Action  Adventure  Comedy  Mecha  Sci-Fi,TV,8.78,Tengen Toppa Gurren Lagann Action  Adventure  Comedy  Mecha  Sci-Fi TV
